,closeAsk,closeBid,complete,highAsk,highBid,lowAsk,lowBid,openAsk,openBid,time,volume
0,0.97818,0.97797,True,0.97852,0.97828,0.97709,0.97686,0.9772,0.97695,2015-08-13T07:30:00.000000Z,194
1,0.97837,0.97816,True,0.97877,0.97856,0.97821,0.978,0.97823,0.97803,2015-08-13T07:45:00.000000Z,152
2,0.97763,0.97741,True,0.97862,0.9784,0.9769,0.97667,0.97832,0.97809,2015-08-13T08:00:00.000000Z,147
3,0.97706,0.97684,True,0.97779,0.97757,0.97686,0.97665,0.97757,0.97736,2015-08-13T08:15:00.000000Z,161
4,0.97737,0.97715,True,0.97812,0.97789,0.97709,0.9769,0.97711,0.9769,2015-08-13T08:30:00.000000Z,114
5,0.97763,0.97741,True,0.97777,0.97757,0.97706,0.97687,0.97742,0.97721,2015-08-13T08:45:00.000000Z,137
6,0.97801,0.97778,True,0.97851,0.9783,0.97761,0.9774,0.97763,0.97743,2015-08-13T09:00:00.000000Z,104
7,0.97794,0.97773,True,0.97831,0.97808,0.97758,0.97737,0.97796,0.97772,2015-08-13T09:15:00.000000Z,85
8,0.97802,0.97781,True,0.97837,0.97817,0.97779,0.97758,0.978,0.97778,2015-08-13T09:30:00.000000Z,137
9,0.97882,0.97864,True,0.97937,0.97913,0.97782,0.9776,0.97802,0.97784,2015-08-13T09:45:00.000000Z,197
10,0.97797,0.97776,True,0.9795,0.97926,0.97786,0.97763,0.97877,0.9786,2015-08-13T10:00:00.000000Z,151
11,0.97802,0.97781,True,0.97807,0.97786,0.97775,0.97754,0.97799,0.97779,2015-08-13T10:15:00.000000Z,74
12,0.97886,0.97865,True,0.97893,0.97875,0.97797,0.97775,0.97805,0.97786,2015-08-13T10:30:00.000000Z,82
13,0.97933,0.97911,True,0.97933,0.97913,0.9788,0.97858,0.97881,0.97858,2015-08-13T10:45:00.000000Z,58
14,0.97939,0.97918,True,0.97939,0.97918,0.97884,0.97863,0.97929,0.97912,2015-08-13T11:00:00.000000Z,109
15,0.97881,0.9786,True,0.97954,0.97933,0.97881,0.97859,0.97938,0.97916,2015-08-13T11:15:00.000000Z,116
16,0.97811,0.97789,True,0.9793,0.97907,0.97798,0.97778,0.97875,0.97855,2015-08-13T11:30:00.000000Z,165
17,0.97678,0.97657,True,0.97839,0.9782,0.9767,0.97645,0.9781,0.97789,2015-08-13T11:45:00.000000Z,125
18,0.97651,0.97632,True,0.9772,0.97696,0.97603,0.97581,0.97672,0.97653,2015-08-13T12:00:00.000000Z,176
19,0.97729,0.97594,True,0.97798,0.97756,0.97614,0.97534,0.97646,0.97626,2015-08-13T12:15:00.000000Z,334
20,0.97881,0.97857,True,0.97927,0.97904,0.9762,0.97526,0.97728,0.97595,2015-08-13T12:30:00.000000Z,825
21,0.97756,0.97739,True,0.97905,0.97885,0.97754,0.97735,0.97884,0.97861,2015-08-13T12:45:00.000000Z,213
22,0.97634,0.97613,True,0.97773,0.97751,0.97625,0.97601,0.97751,0.97734,2015-08-13T13:00:00.000000Z,261
23,0.97576,0.97554,True,0.97697,0.97677,0.97576,0.97554,0.9764,0.97619,2015-08-13T13:15:00.000000Z,206
24,0.97573,0.97552,True,0.97628,0.9761,0.97507,0.97488,0.97571,0.97548,2015-08-13T13:30:00.000000Z,376
25,0.97496,0.97473,True,0.97578,0.9756,0.97383,0.97361,0.97574,0.9755,2015-08-13T13:45:00.000000Z,393
26,0.97602,0.9758,True,0.97733,0.97703,0.97446,0.97423,0.97492,0.97464,2015-08-13T14:00:00.000000Z,480
27,0.97726,0.97707,True,0.97726,0.97707,0.97585,0.97565,0.97596,0.97576,2015-08-13T14:15:00.000000Z,252
28,0.97641,0.9762,True,0.97748,0.97725,0.9764,0.97619,0.97724,0.97707,2015-08-13T14:30:00.000000Z,346
29,0.97605,0.97583,True,0.97666,0.97645,0.97605,0.97583,0.97647,0.97626,2015-08-13T14:45:00.000000Z,258
30,0.97563,0.97542,True,0.97677,0.97656,0.97532,0.97512,0.97611,0.97589,2015-08-13T15:00:00.000000Z,314
31,0.97586,0.97567,True,0.97627,0.97606,0.97557,0.97536,0.97568,0.97548,2015-08-13T15:15:00.000000Z,206
32,0.97623,0.97604,True,0.97645,0.97624,0.9757,0.97549,0.97581,0.9756,2015-08-13T15:30:00.000000Z,117
33,0.97618,0.97597,True,0.97704,0.97681,0.97583,0.97565,0.97629,0.97609,2015-08-13T15:45:00.000000Z,154
34,0.97661,0.97642,True,0.97709,0.97688,0.97621,0.97597,0.97624,0.97602,2015-08-13T16:00:00.000000Z,135
35,0.97715,0.9769,True,0.97736,0.97713,0.97644,0.97624,0.97656,0.97635,2015-08-13T16:15:00.000000Z,109
36,0.97741,0.97719,True,0.97768,0.97749,0.97712,0.97693,0.97712,0.97696,2015-08-13T16:30:00.000000Z,69
37,0.97775,0.97751,True,0.97824,0.97803,0.97729,0.97708,0.97735,0.97713,2015-08-13T16:45:00.000000Z,50
38,0.97719,0.97696,True,0.97846,0.97822,0.97705,0.97681,0.97779,0.97754,2015-08-13T17:00:00.000000Z,118
39,0.97736,0.97713,True,0.9779,0.97768,0.97714,0.9769,0.97721,0.97697,2015-08-13T17:15:00.000000Z,120
40,0.97714,0.97693,True,0.97739,0.97717,0.97705,0.97684,0.97731,0.97708,2015-08-13T17:30:00.000000Z,66
41,0.97779,0.97758,True,0.97789,0.97764,0.97697,0.97675,0.97712,0.97693,2015-08-13T17:45:00.000000Z,102
42,0.97774,0.97751,True,0.97774,0.97752,0.97725,0.97701,0.97774,0.97752,2015-08-13T18:00:00.000000Z,67
43,0.97776,0.97755,True,0.97789,0.97768,0.97731,0.97707,0.97767,0.97748,2015-08-13T18:15:00.000000Z,105
44,0.97713,0.97688,True,0.97777,0.97758,0.9768,0.97657,0.97777,0.97758,2015-08-13T18:30:00.000000Z,79
45,0.97683,0.9766,True,0.9773,0.97709,0.97683,0.9766,0.97717,0.97695,2015-08-13T18:45:00.000000Z,100
46,0.97713,0.97691,True,0.97713,0.97691,0.97678,0.97653,0.97678,0.97654,2015-08-13T19:00:00.000000Z,38
47,0.97649,0.97628,True,0.97711,0.97691,0.97629,0.97607,0.9771,0.97691,2015-08-13T19:15:00.000000Z,50
48,0.97583,0.97563,True,0.97645,0.97622,0.97576,0.97553,0.97645,0.97622,2015-08-13T19:30:00.000000Z,86
49,0.97555,0.97534,True,0.97611,0.97589,0.9753,0.97509,0.97589,0.97568,2015-08-13T19:45:00.000000Z,68
50,0.97508,0.9748,True,0.97618,0.97595,0.97501,0.97474,0.97561,0.9754,2015-08-13T20:00:00.000000Z,60
51,0.97577,0.97552,True,0.97583,0.97557,0.97515,0.97485,0.97516,0.97485,2015-08-13T20:15:00.000000Z,39
52,0.97632,0.97594,True,0.97645,0.97607,0.97581,0.97551,0.97581,0.97551,2015-08-13T20:30:00.000000Z,64
53,0.97659,0.97615,True,0.97666,0.97628,0.97615,0.97582,0.97631,0.97595,2015-08-13T20:45:00.000000Z,76
54,0.97657,0.97596,True,0.97657,0.97596,0.97654,0.97596,0.97654,0.97596,2015-08-13T21:00:00.000000Z,3
55,0.97645,0.97585,True,0.97655,0.97601,0.97644,0.97583,0.97653,0.97599,2015-08-13T21:15:00.000000Z,10
56,0.97648,0.97578,True,0.97663,0.97598,0.97648,0.97578,0.97658,0.97598,2015-08-13T21:30:00.000000Z,4
57,0.97634,0.97589,True,0.97636,0.97589,0.97612,0.97566,0.97629,0.97573,2015-08-13T21:45:00.000000Z,21
58,0.97631,0.97596,True,0.97646,0.97604,0.97616,0.97539,0.97635,0.97588,2015-08-13T22:00:00.000000Z,90
59,0.97614,0.9758,True,0.97636,0.97599,0.97614,0.97576,0.97623,0.9759,2015-08-13T22:15:00.000000Z,27
60,0.97646,0.97613,True,0.97646,0.97613,0.97608,0.97572,0.97622,0.97588,2015-08-13T22:30:00.000000Z,40
61,0.97607,0.97575,True,0.9766,0.97624,0.97602,0.97566,0.97653,0.9762,2015-08-13T22:45:00.000000Z,35
62,0.97594,0.97564,True,0.97625,0.97593,0.97587,0.97559,0.97608,0.97574,2015-08-13T23:00:00.000000Z,45
63,0.97591,0.97565,True,0.97612,0.97584,0.97586,0.9756,0.97586,0.97561,2015-08-13T23:15:00.000000Z,17
64,0.97577,0.97551,True,0.97585,0.97561,0.97577,0.97551,0.97585,0.97561,2015-08-13T23:30:00.000000Z,6
65,0.97573,0.97545,True,0.97587,0.97565,0.97566,0.9754,0.97584,0.97556,2015-08-13T23:45:00.000000Z,10
66,0.97521,0.97496,True,0.97578,0.97552,0.9752,0.97496,0.97578,0.97552,2015-08-14T00:00:00.000000Z,63
67,0.97562,0.97537,True,0.97572,0.97545,0.97523,0.97497,0.97523,0.97497,2015-08-14T00:15:00.000000Z,44
68,0.97563,0.97538,True,0.97576,0.9755,0.97557,0.97528,0.97566,0.9754,2015-08-14T00:30:00.000000Z,23
69,0.97537,0.97509,True,0.97586,0.97553,0.97537,0.97509,0.97569,0.97543,2015-08-14T00:45:00.000000Z,28
70,0.97555,0.9753,True,0.97571,0.97548,0.97531,0.97504,0.97536,0.97511,2015-08-14T01:00:00.000000Z,34
71,0.97641,0.97622,True,0.9765,0.97622,0.97554,0.97532,0.97554,0.97532,2015-08-14T01:15:00.000000Z,55
72,0.97714,0.97683,True,0.97724,0.97698,0.97654,0.97622,0.97654,0.97622,2015-08-14T01:30:00.000000Z,108
73,0.977,0.9768,True,0.97712,0.9769,0.97698,0.97673,0.97712,0.97684,2015-08-14T01:45:00.000000Z,19
74,0.97676,0.97647,True,0.97701,0.97679,0.97659,0.97632,0.97701,0.97679,2015-08-14T02:00:00.000000Z,20
75,0.97675,0.97648,True,0.97688,0.9766,0.97664,0.9764,0.97679,0.97655,2015-08-14T02:15:00.000000Z,23
76,0.97684,0.97656,True,0.97693,0.97669,0.97669,0.97642,0.9767,0.97642,2015-08-14T02:30:00.000000Z,17
77,0.97681,0.97655,True,0.97708,0.97682,0.97674,0.97651,0.97692,0.97661,2015-08-14T02:45:00.000000Z,28
78,0.97636,0.97611,True,0.97687,0.97662,0.97634,0.97608,0.97676,0.97648,2015-08-14T03:00:00.000000Z,30
79,0.97601,0.97573,True,0.97644,0.97616,0.97598,0.97572,0.97642,0.97616,2015-08-14T03:15:00.000000Z,64
80,0.9758,0.97554,True,0.97601,0.97571,0.97576,0.97548,0.97601,0.97571,2015-08-14T03:30:00.000000Z,44
81,0.97585,0.9756,True,0.9759,0.97566,0.97578,0.97553,0.97584,0.97561,2015-08-14T03:45:00.000000Z,18
