,closeAsk,closeBid,complete,highAsk,highBid,lowAsk,lowBid,openAsk,openBid,time,volume
0,124.549,124.535,True,124.572,124.558,124.528,124.514,124.547,124.532,2015-08-13T10:15:00.000000Z,179
1,124.526,124.511,True,124.561,124.548,124.519,124.503,124.547,124.533,2015-08-13T10:30:00.000000Z,124
2,124.528,124.513,True,124.541,124.526,124.507,124.493,124.522,124.508,2015-08-13T10:45:00.000000Z,88
3,124.512,124.498,True,124.545,124.53,124.5,124.486,124.529,124.512,2015-08-13T11:00:00.000000Z,123
4,124.501,124.486,True,124.541,124.526,124.489,124.474,124.512,124.497,2015-08-13T11:15:00.000000Z,160
5,124.454,124.44,True,124.523,124.508,124.444,124.428,124.503,124.486,2015-08-13T11:30:00.000000Z,154
6,124.423,124.409,True,124.481,124.465,124.413,124.398,124.458,124.443,2015-08-13T11:45:00.000000Z,143
7,124.444,124.43,True,124.454,124.439,124.406,124.391,124.423,124.408,2015-08-13T12:00:00.000000Z,219
8,124.544,124.419,True,124.571,124.506,124.425,124.411,124.442,124.426,2015-08-13T12:15:00.000000Z,373
9,124.63,124.589,True,124.647,124.604,124.485,124.376,124.541,124.417,2015-08-13T12:30:00.000000Z,1435
10,124.506,124.463,True,124.656,124.61,124.499,124.457,124.637,124.596,2015-08-13T12:45:00.000000Z,867
11,124.426,124.412,True,124.512,124.497,124.406,124.391,124.505,124.463,2015-08-13T13:00:00.000000Z,396
12,124.481,124.466,True,124.499,124.483,124.422,124.409,124.422,124.409,2015-08-13T13:15:00.000000Z,274
13,124.448,124.434,True,124.575,124.56,124.411,124.395,124.484,124.47,2015-08-13T13:30:00.000000Z,628
14,124.382,124.363,True,124.447,124.432,124.309,124.293,124.447,124.432,2015-08-13T13:45:00.000000Z,617
15,124.373,124.36,True,124.441,124.426,124.328,124.31,124.377,124.362,2015-08-13T14:00:00.000000Z,524
16,124.437,124.424,True,124.447,124.433,124.35,124.334,124.373,124.359,2015-08-13T14:15:00.000000Z,276
17,124.424,124.408,True,124.472,124.457,124.407,124.392,124.435,124.419,2015-08-13T14:30:00.000000Z,345
18,124.433,124.415,True,124.462,124.448,124.4,124.385,124.424,124.409,2015-08-13T14:45:00.000000Z,291
19,124.365,124.35,True,124.498,124.481,124.346,124.33,124.435,124.421,2015-08-13T15:00:00.000000Z,621
20,124.325,124.31,True,124.401,124.386,124.306,124.291,124.368,124.353,2015-08-13T15:15:00.000000Z,378
21,124.291,124.276,True,124.334,124.319,124.279,124.264,124.329,124.313,2015-08-13T15:30:00.000000Z,283
22,124.328,124.314,True,124.379,124.364,124.264,124.25,124.294,124.28,2015-08-13T15:45:00.000000Z,295
23,124.356,124.342,True,124.398,124.383,124.327,124.312,124.329,124.312,2015-08-13T16:00:00.000000Z,199
24,124.364,124.349,True,124.392,124.377,124.338,124.323,124.355,124.34,2015-08-13T16:15:00.000000Z,145
25,124.397,124.38,True,124.411,124.396,124.369,124.352,124.369,124.352,2015-08-13T16:30:00.000000Z,124
26,124.419,124.404,True,124.442,124.427,124.393,124.379,124.4,124.383,2015-08-13T16:45:00.000000Z,100
27,124.405,124.391,True,124.493,124.466,124.401,124.386,124.419,124.405,2015-08-13T17:00:00.000000Z,327
28,124.411,124.394,True,124.462,124.446,124.404,124.388,124.406,124.39,2015-08-13T17:15:00.000000Z,168
29,124.377,124.361,True,124.416,124.401,124.377,124.361,124.41,124.395,2015-08-13T17:30:00.000000Z,110
30,124.416,124.401,True,124.421,124.404,124.37,124.355,124.374,124.357,2015-08-13T17:45:00.000000Z,133
31,124.42,124.404,True,124.433,124.417,124.376,124.361,124.417,124.4,2015-08-13T18:00:00.000000Z,99
32,124.446,124.429,True,124.458,124.442,124.399,124.382,124.418,124.402,2015-08-13T18:15:00.000000Z,142
33,124.419,124.404,True,124.442,124.427,124.392,124.376,124.441,124.427,2015-08-13T18:30:00.000000Z,90
34,124.438,124.422,True,124.462,124.445,124.419,124.401,124.42,124.402,2015-08-13T18:45:00.000000Z,139
35,124.486,124.468,True,124.486,124.468,124.435,124.418,124.435,124.418,2015-08-13T19:00:00.000000Z,87
36,124.445,124.428,True,124.493,124.476,124.438,124.421,124.49,124.472,2015-08-13T19:15:00.000000Z,112
37,124.437,124.421,True,124.449,124.432,124.385,124.369,124.449,124.431,2015-08-13T19:30:00.000000Z,170
38,124.411,124.393,True,124.447,124.431,124.406,124.388,124.437,124.42,2015-08-13T19:45:00.000000Z,162
39,124.364,124.347,True,124.418,124.401,124.359,124.341,124.414,124.397,2015-08-13T20:00:00.000000Z,88
40,124.435,124.417,True,124.441,124.423,124.366,124.346,124.366,124.346,2015-08-13T20:15:00.000000Z,63
41,124.443,124.425,True,124.467,124.445,124.426,124.407,124.435,124.416,2015-08-13T20:30:00.000000Z,122
42,124.457,124.408,True,124.462,124.439,124.432,124.399,124.444,124.424,2015-08-13T20:45:00.000000Z,226
43,124.448,124.416,True,124.468,124.426,124.448,124.4,124.468,124.4,2015-08-13T21:00:00.000000Z,63
44,124.427,124.399,True,124.453,124.417,124.423,124.391,124.449,124.415,2015-08-13T21:15:00.000000Z,92
45,124.411,124.386,True,124.448,124.413,124.402,124.367,124.429,124.398,2015-08-13T21:30:00.000000Z,207
46,124.423,124.397,True,124.428,124.403,124.399,124.376,124.411,124.387,2015-08-13T21:45:00.000000Z,341
47,124.431,124.407,True,124.445,124.422,124.415,124.393,124.422,124.399,2015-08-13T22:00:00.000000Z,203
48,124.446,124.423,True,124.461,124.436,124.43,124.407,124.43,124.408,2015-08-13T22:15:00.000000Z,173
49,124.445,124.424,True,124.461,124.434,124.417,124.394,124.445,124.423,2015-08-13T22:30:00.000000Z,86
50,124.424,124.405,True,124.453,124.433,124.422,124.403,124.449,124.429,2015-08-13T22:45:00.000000Z,58
51,124.428,124.412,True,124.451,124.433,124.415,124.397,124.424,124.406,2015-08-13T23:00:00.000000Z,81
52,124.422,124.407,True,124.434,124.418,124.415,124.397,124.428,124.411,2015-08-13T23:15:00.000000Z,26
53,124.419,124.402,True,124.423,124.405,124.402,124.385,124.423,124.405,2015-08-13T23:30:00.000000Z,25
54,124.4,124.386,True,124.419,124.403,124.374,124.359,124.416,124.401,2015-08-13T23:45:00.000000Z,118
55,124.417,124.401,True,124.445,124.429,124.379,124.363,124.404,124.389,2015-08-14T00:00:00.000000Z,263
56,124.405,124.39,True,124.426,124.41,124.392,124.377,124.413,124.397,2015-08-14T00:15:00.000000Z,133
57,124.41,124.394,True,124.427,124.411,124.39,124.374,124.403,124.39,2015-08-14T00:30:00.000000Z,127
58,124.405,124.392,True,124.427,124.413,124.394,124.38,124.413,124.398,2015-08-14T00:45:00.000000Z,214
59,124.401,124.384,True,124.427,124.412,124.39,124.375,124.402,124.387,2015-08-14T01:00:00.000000Z,154
60,124.51,124.495,True,124.522,124.507,124.401,124.384,124.401,124.385,2015-08-14T01:15:00.000000Z,297
61,124.507,124.489,True,124.544,124.527,124.49,124.473,124.512,124.497,2015-08-14T01:30:00.000000Z,217
62,124.463,124.447,True,124.517,124.499,124.456,124.44,124.507,124.491,2015-08-14T01:45:00.000000Z,167
63,124.431,124.418,True,124.462,124.447,124.423,124.408,124.46,124.442,2015-08-14T02:00:00.000000Z,84
64,124.443,124.428,True,124.483,124.466,124.435,124.42,124.435,124.42,2015-08-14T02:15:00.000000Z,152
65,124.461,124.446,True,124.468,124.449,124.437,124.421,124.443,124.429,2015-08-14T02:30:00.000000Z,49
66,124.485,124.47,True,124.5,124.484,124.461,124.444,124.464,124.449,2015-08-14T02:45:00.000000Z,107
67,124.455,124.441,True,124.508,124.493,124.454,124.438,124.486,124.469,2015-08-14T03:00:00.000000Z,142
68,124.441,124.424,True,124.474,124.458,124.432,124.415,124.453,124.439,2015-08-14T03:15:00.000000Z,188
69,124.423,124.407,True,124.446,124.43,124.406,124.391,124.442,124.426,2015-08-14T03:30:00.000000Z,135
70,124.43,124.414,True,124.452,124.436,124.422,124.407,124.422,124.408,2015-08-14T03:45:00.000000Z,74
71,124.422,124.405,True,124.433,124.417,124.403,124.388,124.426,124.411,2015-08-14T04:00:00.000000Z,63
72,124.437,124.419,True,124.444,124.428,124.405,124.39,124.421,124.406,2015-08-14T04:15:00.000000Z,66
73,124.427,124.409,True,124.447,124.432,124.412,124.397,124.439,124.424,2015-08-14T04:30:00.000000Z,99
74,124.4,124.385,True,124.435,124.417,124.393,124.378,124.43,124.414,2015-08-14T04:45:00.000000Z,145
75,124.396,124.381,True,124.438,124.419,124.396,124.379,124.397,124.382,2015-08-14T05:00:00.000000Z,157
76,124.393,124.379,True,124.408,124.392,124.375,124.356,124.397,124.38,2015-08-14T05:15:00.000000Z,213
77,124.408,124.393,True,124.415,124.399,124.379,124.365,124.397,124.382,2015-08-14T05:30:00.000000Z,77
78,124.403,124.386,True,124.423,124.408,124.403,124.386,124.411,124.396,2015-08-14T05:45:00.000000Z,111
79,124.385,124.37,True,124.434,124.418,124.377,124.36,124.405,124.391,2015-08-14T06:00:00.000000Z,198
80,124.372,124.35,True,124.415,124.399,124.355,124.339,124.382,124.365,2015-08-14T06:15:00.000000Z,165
81,124.392,124.378,True,124.394,124.379,124.352,124.336,124.373,124.355,2015-08-14T06:30:00.000000Z,92
82,124.323,124.307,True,124.389,124.375,124.304,124.289,124.389,124.375,2015-08-14T06:45:00.000000Z,178
83,124.248,124.233,True,124.37,124.355,124.218,124.2,124.322,124.308,2015-08-14T07:00:00.000000Z,330
84,124.319,124.302,True,124.32,124.304,124.241,124.224,124.251,124.236,2015-08-14T07:15:00.000000Z,240
85,124.305,124.291,True,124.346,124.331,124.305,124.291,124.314,124.3,2015-08-14T07:30:00.000000Z,224
86,124.351,124.337,True,124.396,124.381,124.301,124.286,124.307,124.293,2015-08-14T07:45:00.000000Z,284
87,124.359,124.343,True,124.395,124.381,124.347,124.334,124.352,124.336,2015-08-14T08:00:00.000000Z,184
88,124.337,124.321,True,124.366,124.35,124.326,124.312,124.359,124.345,2015-08-14T08:15:00.000000Z,97
89,124.319,124.304,True,124.343,124.329,124.292,124.278,124.337,124.322,2015-08-14T08:30:00.000000Z,151
90,124.293,124.277,True,124.336,124.321,124.281,124.267,124.323,124.307,2015-08-14T08:45:00.000000Z,117
91,124.32,124.304,True,124.324,124.308,124.273,124.259,124.29,124.272,2015-08-14T09:00:00.000000Z,158
92,124.304,124.287,True,124.34,124.324,124.28,124.264,124.317,124.302,2015-08-14T09:15:00.000000Z,203
93,124.287,124.271,True,124.324,124.306,124.272,124.256,124.303,124.288,2015-08-14T09:30:00.000000Z,200
94,124.24,124.227,True,124.294,124.279,124.222,124.206,124.29,124.274,2015-08-14T09:45:00.000000Z,252
95,124.263,124.249,True,124.284,124.27,124.237,124.222,124.241,124.226,2015-08-14T10:00:00.000000Z,133
96,124.167,124.153,True,124.264,124.249,124.142,124.125,124.26,124.246,2015-08-14T10:15:00.000000Z,225
97,124.164,124.148,True,124.19,124.175,124.138,124.123,124.164,124.148,2015-08-14T10:30:00.000000Z,192
98,124.125,124.111,True,124.162,124.146,124.112,124.097,124.162,124.146,2015-08-14T10:45:00.000000Z,125
99,124.096,124.08,True,124.133,124.118,124.078,124.064,124.125,124.11,2015-08-14T11:00:00.000000Z,193
100,124.072,124.057,True,124.112,124.097,124.063,124.048,124.096,124.081,2015-08-14T11:15:00.000000Z,145
101,124.101,124.086,True,124.14,124.127,124.072,124.056,124.073,124.059,2015-08-14T11:30:00.000000Z,161
102,124.132,124.117,True,124.143,124.128,124.093,124.078,124.101,124.085,2015-08-14T11:45:00.000000Z,117
103,124.167,124.151,True,124.181,124.167,124.125,124.11,124.13,124.115,2015-08-14T12:00:00.000000Z,200
104,124.184,124.158,True,124.207,124.193,124.137,124.122,124.166,124.152,2015-08-14T12:15:00.000000Z,187
105,124.232,124.217,True,124.295,124.27,124.188,124.161,124.188,124.162,2015-08-14T12:30:00.000000Z,571
106,124.269,124.253,True,124.289,124.274,124.216,124.198,124.235,124.22,2015-08-14T12:45:00.000000Z,214
107,124.301,124.274,True,124.326,124.308,124.248,124.234,124.265,124.249,2015-08-14T13:00:00.000000Z,359
108,124.368,124.353,True,124.393,124.377,124.299,124.264,124.323,124.271,2015-08-14T13:15:00.000000Z,517
109,124.346,124.33,True,124.393,124.377,124.324,124.307,124.366,124.351,2015-08-14T13:30:00.000000Z,542
110,124.338,124.318,True,124.384,124.368,124.323,124.304,124.345,124.331,2015-08-14T13:45:00.000000Z,366
111,124.263,124.248,True,124.355,124.333,124.225,124.211,124.34,124.317,2015-08-14T14:00:00.000000Z,528
112,124.169,124.155,True,124.28,124.265,124.165,124.151,124.264,124.25,2015-08-14T14:15:00.000000Z,391
113,124.208,124.194,True,124.24,124.226,124.173,124.159,124.173,124.159,2015-08-14T14:30:00.000000Z,332
114,124.305,124.29,True,124.322,124.306,124.156,124.141,124.204,124.19,2015-08-14T14:45:00.000000Z,481
115,124.241,124.227,True,124.318,124.303,124.22,124.207,124.301,124.287,2015-08-14T15:00:00.000000Z,449
116,124.269,124.254,True,124.313,124.299,124.245,124.231,124.245,124.231,2015-08-14T15:15:00.000000Z,305
117,124.3,124.284,True,124.312,124.297,124.254,124.24,124.27,124.256,2015-08-14T15:30:00.000000Z,193
118,124.288,124.273,True,124.306,124.292,124.254,124.24,124.301,124.287,2015-08-14T15:45:00.000000Z,204
119,124.268,124.253,True,124.309,124.293,124.255,124.239,124.287,124.271,2015-08-14T16:00:00.000000Z,144
120,124.256,124.24,True,124.297,124.28,124.251,124.236,124.272,124.257,2015-08-14T16:15:00.000000Z,154
121,124.226,124.209,True,124.261,124.247,124.225,124.209,124.252,124.237,2015-08-14T16:30:00.000000Z,128
122,124.205,124.188,True,124.23,124.214,124.196,124.18,124.224,124.207,2015-08-14T16:45:00.000000Z,120
123,124.247,124.231,True,124.249,124.233,124.202,124.187,124.206,124.188,2015-08-14T17:00:00.000000Z,132
124,124.255,124.239,True,124.263,124.246,124.237,124.221,124.251,124.234,2015-08-14T17:15:00.000000Z,116
125,124.233,124.215,True,124.26,124.244,124.233,124.215,124.251,124.235,2015-08-14T17:30:00.000000Z,54
126,124.259,124.242,True,124.273,124.256,124.216,124.2,124.228,124.212,2015-08-14T17:45:00.000000Z,105
