,displayName,instrument,maxTradeUnits,pip
0,Australia 200,AU200_AUD,200,1.0
1,AUD/CAD,AUD_CAD,10000000,0.0001
2,AUD/CHF,AUD_CHF,10000000,0.0001
3,AUD/HKD,AUD_HKD,10000000,0.0001
4,AUD/JPY,AUD_JPY,10000000,0.01
5,AUD/NZD,AUD_NZD,10000000,0.0001
6,AUD/SGD,AUD_SGD,10000000,0.0001
7,AUD/USD,AUD_USD,10000000,0.0001
8,Brent Crude Oil,BCO_USD,10000,0.01
9,CAD/CHF,CAD_CHF,10000000,0.0001
10,CAD/HKD,CAD_HKD,10000000,0.0001
11,CAD/JPY,CAD_JPY,10000000,0.01
12,CAD/SGD,CAD_SGD,10000000,0.0001
13,Swiss 20,CH20_CHF,100,1.0
14,CHF/HKD,CHF_HKD,10000000,0.0001
15,CHF/JPY,CHF_JPY,10000000,0.01
16,CHF/ZAR,CHF_ZAR,10000000,0.0001
17,Corn,CORN_USD,150000,0.01
18,Bund,DE10YB_EUR,6000,0.01
19,Germany 30,DE30_EUR,250,1.0
20,Europe 50,EU50_EUR,300,1.0
21,EUR/AUD,EUR_AUD,10000000,0.0001
22,EUR/CAD,EUR_CAD,10000000,0.0001
23,EUR/CHF,EUR_CHF,10000000,0.0001
24,EUR/CZK,EUR_CZK,10000000,0.0001
25,EUR/DKK,EUR_DKK,10000000,0.0001
26,EUR/GBP,EUR_GBP,10000000,0.0001
27,EUR/HKD,EUR_HKD,10000000,0.0001
28,EUR/HUF,EUR_HUF,10000000,0.01
29,EUR/JPY,EUR_JPY,10000000,0.01
30,EUR/NOK,EUR_NOK,10000000,0.0001
31,EUR/NZD,EUR_NZD,10000000,0.0001
32,EUR/PLN,EUR_PLN,10000000,0.0001
33,EUR/SEK,EUR_SEK,10000000,0.0001
34,EUR/SGD,EUR_SGD,10000000,0.0001
35,EUR/TRY,EUR_TRY,10000000,0.0001
36,EUR/USD,EUR_USD,10000000,0.0001
37,EUR/ZAR,EUR_ZAR,10000000,0.0001
38,France 40,FR40_EUR,200,1.0
39,GBP/AUD,GBP_AUD,10000000,0.0001
40,GBP/CAD,GBP_CAD,10000000,0.0001
41,GBP/CHF,GBP_CHF,10000000,0.0001
42,GBP/HKD,GBP_HKD,10000000,0.0001
43,GBP/JPY,GBP_JPY,10000000,0.01
44,GBP/NZD,GBP_NZD,10000000,0.0001
45,GBP/PLN,GBP_PLN,10000000,0.0001
46,GBP/SGD,GBP_SGD,10000000,0.0001
47,GBP/USD,GBP_USD,10000000,0.0001
48,GBP/ZAR,GBP_ZAR,10000000,0.0001
49,Hong Kong 33,HK33_HKD,400,1.0
50,HKD/JPY,HKD_JPY,10000000,0.0001
51,Japan 225,JP225_USD,100,1.0
52,US Nas 100,NAS100_USD,400,1.0
53,Natural Gas,NATGAS_USD,250000,0.01
54,Netherlands 25,NL25_EUR,2000,0.01
55,NZD/CAD,NZD_CAD,10000000,0.0001
56,NZD/CHF,NZD_CHF,10000000,0.0001
57,NZD/HKD,NZD_HKD,10000000,0.0001
58,NZD/JPY,NZD_JPY,10000000,0.01
59,NZD/SGD,NZD_SGD,10000000,0.0001
60,NZD/USD,NZD_USD,10000000,0.0001
61,Singapore 30,SG30_SGD,300,0.1
62,SGD/CHF,SGD_CHF,10000000,0.0001
63,SGD/HKD,SGD_HKD,10000000,0.0001
64,SGD/JPY,SGD_JPY,10000000,0.01
65,Soybeans,SOYBN_USD,60000,0.01
66,US SPX 500,SPX500_USD,800,1.0
67,Sugar,SUGAR_USD,4000000,0.0001
68,TRY/JPY,TRY_JPY,10000000,0.01
69,UK 100,UK100_GBP,100,1.0
70,UK 10Y Gilt,UK10YB_GBP,6000,0.01
71,US Russ 2000,US2000_USD,1000,0.01
72,US Wall St 30,US30_USD,100,1.0
73,US 2Y T-Note,USB02Y_USD,6000,0.01
74,US 5Y T-Note,USB05Y_USD,6000,0.01
75,US 10Y T-Note,USB10Y_USD,6000,0.01
76,US T-Bond,USB30Y_USD,6000,0.01
77,USD/CAD,USD_CAD,10000000,0.0001
78,USD/CHF,USD_CHF,10000000,0.0001
79,USD/CNH,USD_CNH,10000000,0.0001
80,USD/CZK,USD_CZK,10000000,0.0001
81,USD/DKK,USD_DKK,10000000,0.0001
82,USD/HKD,USD_HKD,10000000,0.0001
83,USD/HUF,USD_HUF,10000000,0.01
84,USD/INR,USD_INR,10000000,0.01
85,USD/JPY,USD_JPY,10000000,0.01
86,USD/MXN,USD_MXN,10000000,0.0001
87,USD/NOK,USD_NOK,10000000,0.0001
88,USD/PLN,USD_PLN,10000000,0.0001
89,USD/SAR,USD_SAR,10000000,0.0001
90,USD/SEK,USD_SEK,10000000,0.0001
91,USD/SGD,USD_SGD,10000000,0.0001
92,USD/THB,USD_THB,10000000,0.01
93,USD/TRY,USD_TRY,10000000,0.0001
94,USD/ZAR,USD_ZAR,10000000,0.0001
95,Wheat,WHEAT_USD,150000,0.01
96,West Texas Oil,WTICO_USD,10000,0.01
97,Silver/AUD,XAG_AUD,50000,0.0001
98,Silver/CAD,XAG_CAD,50000,0.0001
99,Silver/CHF,XAG_CHF,50000,0.0001
100,Silver/EUR,XAG_EUR,50000,0.0001
101,Silver/GBP,XAG_GBP,50000,0.0001
102,Silver/HKD,XAG_HKD,50000,0.0001
103,Silver/JPY,XAG_JPY,50000,1.0
104,Silver/NZD,XAG_NZD,50000,0.0001
105,Silver/SGD,XAG_SGD,50000,0.0001
106,Silver,XAG_USD,50000,0.0001
107,Gold/AUD,XAU_AUD,2000,0.01
108,Gold/CAD,XAU_CAD,2000,0.01
109,Gold/CHF,XAU_CHF,2000,0.01
110,Gold/EUR,XAU_EUR,2000,0.01
111,Gold/GBP,XAU_GBP,2000,0.01
112,Gold/HKD,XAU_HKD,2000,0.01
113,Gold/JPY,XAU_JPY,2000,10
114,Gold/NZD,XAU_NZD,2000,0.01
115,Gold/SGD,XAU_SGD,2000,0.01
116,Gold,XAU_USD,2000,0.01
117,Gold/Silver,XAU_XAG,2000,0.01
118,Copper,XCU_USD,250000,0.0001
119,Palladium,XPD_USD,500,0.01
120,Platinum,XPT_USD,500,0.01
121,ZAR/JPY,ZAR_JPY,10000000,0.01
